generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,1037,1192.04,1037,0.005066986000201723
1,1037,1179.82,1037,0.009208924000631669
2,1037,1173.32,1037,0.012900806000288867
3,1080,1168.12,1037,0.017009494000376435
4,1032,1162.86,1032,0.021027933999903325
5,1071,1145.8,1032,0.024641441999847302
6,1047,1132.68,1032,0.028703818999929354
7,1037,1123.16,1032,0.03187202099979913
8,1048,1133.2,1032,0.0363464540005225
9,1016,1112.74,1016,0.04068670100059535
10,1012,1100.74,1012,0.045412880000185396
11,1008,1097.88,1008,0.04943132000062178
12,998,1098.8,998,0.05379887800063443
13,1024,1089.66,998,0.0585191179998219
14,1016,1086.12,998,0.06320017200050643
15,985,1087.8,985,0.06769241599977249
16,982,1069.66,982,0.07258127800014336
17,982,1068.9,982,0.07725401900006545
18,979,1068.12,979,0.08112283500031481
19,979,1075.8,979,0.08466628099995432
20,993,1069.02,979,0.08866096900055709
21,979,1061.78,979,0.09319121299995459
22,991,1052.64,979,0.09721440100020118
23,987,1046.28,979,0.10128271400026279
24,991,1056.42,979,0.10550421200059645
25,999,1061.2,979,0.10974589699981152
26,1002,1051.0,979,0.11404220599979453
27,979,1045.54,979,0.1176699630004805
28,979,1049.46,979,0.1218973980003284
29,987,1044.18,979,0.1255310920005286
30,985,1042.02,979,0.13027627000064967
31,982,1048.88,979,0.1353111930002342
32,982,1037.76,979,0.13889620000009018
33,982,1042.2,979,0.14303219900011754
34,982,1045.52,979,0.14789256200037926
35,982,1039.14,979,0.1520879360004983
36,982,1038.42,979,0.15612299900021753
37,982,1019.8,979,0.1603836840004078
38,982,1022.36,979,0.16438905999984854
39,987,1030.4,979,0.16875424299996666
40,982,1015.86,979,0.1722442520003824
41,982,1016.98,979,0.17659637300039321
42,982,1024.72,979,0.1809496810001292
43,982,1021.96,979,0.18515930400008074
44,982,1026.38,979,0.18979285800014623
45,982,1019.2,979,0.19357736300025863
46,982,1012.52,979,0.19751624000036827
47,982,1006.42,979,0.20189804800065758
48,982,1005.2,979,0.20650904000012815
49,982,1018.28,979,0.21073410000008153
50,982,1010.62,979,0.2147644130000117
51,982,1013.32,979,0.21938609300013923
52,982,1012.34,979,0.2233997809998982
53,982,1001.72,979,0.22750134299985802
54,982,999.32,979,0.2307360439999684
55,982,1001.48,979,0.23520809999990888
56,982,1009.72,979,0.23947947299984662
57,982,1003.44,979,0.24432083600004262
58,982,1010.76,979,0.24850670900013938
59,982,1006.16,979,0.253152138000587
60,982,1009.64,979,0.25650321200009785
61,982,1000.96,979,0.26046702599978744
62,982,999.3,979,0.2647051490002923
63,982,995.86,979,0.26884827300000325
64,982,996.82,979,0.27297358499981783
65,982,1006.56,979,0.27731976799987024
66,982,992.56,979,0.2806732170001851
67,982,1003.46,979,0.2848602780004512
68,982,1003.76,979,0.2885236590000204
69,982,994.44,979,0.2927487189999738
70,982,994.64,979,0.29726114999994024
71,982,996.26,979,0.3008366579997528
72,982,1008.9,979,0.3051828409998052
73,982,1002.76,979,0.30964539800061175
74,982,996.34,979,0.31320665600014763
75,982,999.54,979,0.31685935000041354
76,982,988.96,979,0.3211271600002874
