generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,2034,2176.4,2034,0.03454256199984229
1,2042,2165.6,2034,0.0645373910001581
2,2038,2142.06,2034,0.09060312499968859
3,2041,2136.46,2034,0.11749647400029062
4,2041,2112.58,2034,0.13407609400019282
5,2030,2115.62,2030,0.15728257599948847
6,2006,2104.38,2006,0.17884807599966734
7,2022,2108.92,2006,0.204402041999856
8,2024,2102.18,2006,0.22705757099993207
9,2000,2091.5,2000,0.24878811899998254
10,1987,2081.86,1987,0.2753406849997191
11,1968,2078.6,1968,0.2974559499998577
12,1968,2072.14,1968,0.3153559559996211
13,1968,2065.72,1968,0.33905283300009614
14,1968,2056.56,1968,0.3623958649995984
15,1968,2058.88,1968,0.38195822699981363
16,1979,2054.7,1968,0.4041186120002749
17,1972,2053.88,1968,0.4274390840000706
18,1962,2044.48,1962,0.4490770149996024
19,1960,2049.3,1960,0.4715995569995357
20,1970,2045.9,1960,0.492441931999565
21,1970,2048.84,1960,0.5156021049997435
22,1961,2036.1,1960,0.5395032139995237
23,1951,2016.52,1951,0.5584718769996471
24,1953,2025.1,1951,0.5787763620000987
25,1959,2029.24,1951,0.6014746379996723
26,1959,2031.4,1951,0.6230626979995577
27,1959,2014.46,1951,0.6411764360000234
28,1950,2020.14,1950,0.6617219620002288
29,1909,2010.48,1909,0.6801456100001815
30,1942,2016.22,1909,0.7044896179995703
31,1942,2011.84,1909,0.7233442910001031
32,1942,1991.88,1909,0.743556157999592
33,1952,1998.46,1909,0.7633726220001336
34,1929,2011.76,1909,0.7887876619997769
35,1929,2005.76,1909,0.8077848229995652
36,1951,2006.82,1909,0.8313214009995136
37,1929,2006.98,1909,0.8562282349994348
38,1923,2000.06,1909,0.8791093709996858
39,1923,1992.84,1909,0.9014656769995781
40,1947,1996.88,1909,0.9265624939998816
41,1923,2000.08,1909,0.9493367639997814
42,1924,1991.34,1909,0.9709117630000037
43,1924,1998.72,1909,0.9928833519998079
44,1924,1997.28,1909,1.0182568330001232
45,1921,1997.32,1909,1.0408826749999207
46,1920,2001.46,1909,1.06549621799968
47,1918,1995.6,1909,1.0835957039998902
48,1929,1994.32,1909,1.1062702290000743
49,1941,1998.0,1909,1.129644130000088
50,1916,2003.46,1909,1.1540439419995892
51,1914,1998.26,1909,1.17985913099983
52,1914,2002.62,1909,1.204146139999466
53,1932,2000.62,1909,1.231145163000292
54,1933,2001.52,1909,1.2572904480002762
55,1923,1992.84,1909,1.2769477980000374
