generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,1941,2075.82,1941,0.02798130399969523
1,1936,2037.02,1936,0.04993149999972957
2,1918,2031.3,1918,0.06967539400011447
3,1912,2026.6,1912,0.0896152199993594
4,1917,2028.56,1912,0.11145854400001554
5,1920,2024.88,1912,0.13651988399942638
6,1920,2006.2,1912,0.15866957300022477
7,1921,1999.3,1912,0.17938955999943573
8,1928,2005.6,1912,0.20029479000004358
9,1882,1987.58,1882,0.22523382199960906
10,1886,1970.96,1882,0.24754856799972913
11,1882,1969.14,1882,0.27164212800016685
12,1855,1977.96,1855,0.2954875089999405
13,1897,1973.22,1855,0.31593200499992236
14,1901,1979.34,1855,0.3373763429999599
15,1881,1978.96,1855,0.35697655500007386
16,1881,1968.82,1855,0.37767516799976875
17,1904,1969.3,1855,0.40330886299943813
18,1880,1952.86,1855,0.42515693699988333
19,1880,1953.8,1855,0.4453176299994084
20,1879,1947.8,1855,0.4673628179998559
21,1877,1948.58,1855,0.4922163459996227
22,1902,1966.28,1855,0.5195754139995188
23,1879,1952.34,1855,0.5435894080001162
24,1879,1951.38,1855,0.5684595610000542
25,1873,1950.94,1855,0.5920555689999674
26,1862,1946.18,1855,0.6168972229997962
27,1882,1948.76,1855,0.6361756289998084
28,1842,1945.28,1842,0.6615884499997264
29,1853,1935.2,1842,0.6854136379997726
30,1878,1938.86,1842,0.7083624819997567
31,1870,1942.96,1842,0.7314941929998895
32,1870,1938.6,1842,0.7564830920000531
33,1885,1935.56,1842,0.7784356570000455
34,1858,1931.16,1842,0.7993052579995492
35,1885,1935.64,1842,0.8227492719997826
36,1878,1940.0,1842,0.8503731430000698
37,1884,1931.96,1842,0.8728683769995769
38,1857,1926.72,1842,0.8973621049999565
39,1857,1920.34,1842,0.9197896529994978
40,1859,1920.32,1842,0.9435269690002315
41,1855,1924.4,1842,0.9697377639995466
42,1839,1924.76,1839,0.9956766300001618
43,1838,1924.2,1838,1.0230345099998885
44,1838,1913.62,1838,1.0486420749994068
45,1850,1920.44,1838,1.0754311629998483
46,1842,1909.28,1838,1.0986281850000523
47,1839,1904.54,1838,1.1220437000001766
48,1833,1903.34,1833,1.1467297959998177
49,1845,1905.72,1833,1.173518882999815
50,1841,1905.98,1833,1.1968085270000302
51,1819,1897.62,1819,1.2221144770001047
52,1852,1901.3,1819,1.2480022829995505
53,1859,1906.4,1819,1.269095126999673
54,1853,1900.56,1819,1.2908992590000707
55,1837,1896.4,1819,1.3167443160000403
56,1835,1900.02,1819,1.3395530389998385
57,1837,1899.52,1819,1.3621848299999328
58,1817,1895.86,1817,1.3821650239997325
59,1841,1904.36,1817,1.4078283999997439
60,1811,1888.96,1811,1.4262173979996078
61,1836,1885.64,1811,1.4473553660000107
62,1821,1886.9,1811,1.473651651000182
63,1836,1886.76,1811,1.492019270000128
64,1828,1889.52,1811,1.513180981000005
65,1827,1870.28,1811,1.5328833049998138
66,1818,1868.5,1811,1.5544535019998875
67,1828,1869.74,1811,1.5745464999999967
68,1825,1863.1,1811,1.5948912389994803
69,1821,1871.58,1811,1.622458105000078
70,1826,1872.64,1811,1.6520484020002186
71,1824,1864.7,1811,1.6762072599995008
72,1813,1870.06,1811,1.7028942189999725
73,1813,1861.32,1811,1.7244656029997714
74,1813,1862.56,1811,1.7427002269996592
75,1813,1860.92,1811,1.7650873960001263
76,1809,1861.66,1809,1.7869793949994346
77,1809,1861.14,1809,1.8126890749999802
78,1809,1855.12,1809,1.8370972989996517
79,1804,1847.74,1804,1.861782201999631
80,1792,1844.92,1792,1.8843106790000093
81,1792,1846.18,1792,1.90634042199963
82,1804,1849.86,1792,1.9297915549996105
83,1804,1844.74,1792,1.9524292779997268
84,1805,1849.9,1792,1.9762342730000455
85,1801,1848.42,1792,1.998982428999625
86,1805,1846.36,1792,2.0182691419995535
87,1807,1850.18,1792,2.0395448499994018
88,1817,1848.78,1792,2.063761892999537
89,1819,1852.92,1792,2.08754551399943
90,1796,1846.32,1792,2.1100098679999064
91,1792,1841.26,1792,2.1295447599995896
92,1792,1847.64,1792,2.1523071659994457
93,1802,1839.84,1792,2.172250544000235
94,1802,1841.8,1792,2.1947813950000636
95,1803,1840.18,1792,2.2153446269994674
96,1810,1841.58,1792,2.2345007189996977
97,1795,1839.92,1792,2.2565993359994536
98,1799,1837.58,1792,2.2805539510000017
99,1806,1841.56,1792,2.3084164940000846
100,1810,1850.3,1792,2.3363954090000334
101,1804,1849.24,1792,2.362923247999788
102,1808,1846.44,1792,2.3897954509993724
103,1792,1842.34,1792,2.4185652129999653
104,1793,1839.18,1792,2.4399454169997625
105,1784,1844.3,1784,2.4682686890000696
106,1784,1837.8,1784,2.492944085999625
107,1798,1841.74,1784,2.5206451280000692
108,1793,1837.48,1784,2.5442826849994162
109,1793,1829.22,1784,2.570112291999976
110,1793,1827.66,1784,2.594066900999678
111,1788,1825.8,1784,2.6187731720001466
112,1784,1829.08,1784,2.640103495999938
113,1792,1829.2,1784,2.6608104050001202
114,1794,1825.62,1784,2.6850333799993678
115,1792,1824.48,1784,2.705308053999943
116,1791,1830.36,1784,2.725221740000052
117,1791,1833.12,1784,2.7511582179995457
118,1792,1834.08,1784,2.7730145870000342
119,1792,1833.22,1784,2.7946382139998605
120,1792,1834.88,1784,2.819473917999858
121,1794,1832.28,1784,2.8438049509995835
122,1794,1833.78,1784,2.8678699940001025
123,1794,1834.6,1784,2.8914766769994458
124,1794,1836.76,1784,2.9170212939998237
125,1793,1832.56,1784,2.9434386929997345
126,1789,1826.06,1784,2.9720885139995517
127,1789,1826.36,1784,2.997193770999729
128,1789,1827.82,1784,3.024753504999353
129,1784,1823.44,1784,3.0487817369994445
130,1784,1828.56,1784,3.0758071149994066
131,1784,1825.42,1784,3.0966683930000727
132,1784,1820.42,1784,3.1216430289996424
133,1789,1817.98,1784,3.141285974999846
134,1789,1825.86,1784,3.165709629999583
135,1789,1822.44,1784,3.1892759399997885
136,1784,1821.04,1784,3.2104364580000038
137,1784,1818.08,1784,3.231966276000094
138,1784,1819.8,1784,3.252014144999521
139,1784,1822.32,1784,3.2785027919999266
140,1784,1824.36,1784,3.305148182999801
141,1784,1823.62,1784,3.3276315299999624
142,1789,1823.78,1784,3.348600866999732
143,1784,1819.78,1784,3.3703337409997403
144,1785,1818.38,1784,3.3923314169996956
145,1784,1819.38,1784,3.4143279069994605
146,1786,1814.2,1784,3.437301674999617
