generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,1073,1194.65,1073,0.002002098000048136
1,1050,1156.5,1050,0.003632513999946241
2,1050,1149.4,1050,0.00510499499978323
3,1050,1160.4,1050,0.006776971999897796
4,1080,1129.0,1050,0.008467949999612756
5,1072,1120.15,1050,0.009926181000082579
6,1074,1115.0,1050,0.011412910999752057
7,1075,1123.35,1050,0.013271324000015738
8,1050,1139.55,1050,0.014849490999949921
9,1050,1087.1,1050,0.01653809299932618
10,1050,1067.05,1050,0.01768401599929348
11,1050,1055.9,1050,0.018682689999877766
12,1050,1064.65,1050,0.02001148499948613
13,1050,1063.3,1050,0.02144477799993183
14,1050,1061.85,1050,0.023060943999553274
15,1050,1050.0,1050,0.024767358999270073
16,1050,1050.0,1050,0.02647139900000184
17,1050,1072.2,1050,0.028170689000035054
18,1050,1058.25,1050,0.029671668999981193
19,1050,1063.05,1050,0.031214212000122643
20,1050,1062.0,1050,0.03311418599969329
21,1050,1061.9,1050,0.0349191619998237
22,1050,1050.0,1050,0.03668020199984312
23,1050,1050.0,1050,0.03856830199947581
24,1050,1057.4,1050,0.04044571399936103
25,1050,1050.0,1050,0.041983505999269255
26,1050,1071.3,1050,0.044295537999460066
27,1050,1062.65,1050,0.04639026099994226
28,1050,1050.0,1050,0.04827954799930012
29,1050,1050.0,1050,0.050148647999776585
30,1050,1050.0,1050,0.051643690999299
31,1050,1050.0,1050,0.053327543999330373
32,1050,1053.25,1050,0.055214455999703205
33,1050,1050.0,1050,0.056614499999341206
34,1050,1056.95,1050,0.058215228999870305
35,1050,1054.4,1050,0.05999408099978609
36,1050,1059.5,1050,0.0614867479998793
37,1050,1064.7,1050,0.06278823100001318
38,1050,1065.05,1050,0.06437352299963095
39,1050,1061.6,1050,0.06585194099989167
40,1050,1050.0,1050,0.06755835500007379
41,1050,1050.0,1050,0.06908664799993858
42,1050,1062.05,1050,0.07086668699957954
43,1050,1070.05,1050,0.07284622299994226
44,1050,1067.0,1050,0.07461201199930656
45,1050,1054.75,1050,0.07630536499982554
46,1050,1050.0,1050,0.07801059199937299
47,1050,1061.6,1050,0.0799070049997681
48,1048,1050.6,1048,0.0817784799992296
49,1048,1062.75,1048,0.08338870799980214
50,1048,1060.05,1048,0.08488018899970484
51,1048,1064.8,1048,0.08697491099974286
52,1050,1050.0,1048,0.08837139199931698
53,1050,1061.35,1048,0.08997212099984608
54,1050,1056.1,1048,0.09147903899975063
55,1050,1053.5,1048,0.0929823939995913
56,1050,1060.3,1048,0.09464843399928213
57,1050,1063.5,1048,0.09652584699961153
58,1050,1062.75,1048,0.09849825799938117
59,1050,1063.65,1048,0.1001868610001111
60,1050,1052.15,1048,0.10140996999962226
61,1050,1056.85,1048,0.1033918809998795
62,1050,1076.15,1048,0.10489642399988952
63,1050,1070.6,1048,0.10603047099994001
64,1050,1058.65,1048,0.107252392999726
65,1050,1056.85,1048,0.1089326829996935
66,1050,1073.2,1048,0.11067472200011252
67,1050,1056.85,1048,0.1124381359995823
68,1050,1070.0,1048,0.11422411300009117
69,1050,1053.5,1048,0.11570846799986612
70,1050,1054.25,1048,0.1172806969998419
71,1050,1059.0,1048,0.11884580199966877
72,1050,1050.0,1048,0.12053321699931985
73,1050,1050.0,1048,0.12192376099937974
74,1050,1062.75,1048,0.12387242299973877
75,1050,1057.35,1048,0.12553608799953508
76,1050,1050.7,1048,0.12730543999987276
77,1050,1050.0,1048,0.12897029299983842
78,1050,1052.55,1048,0.13043802299944218
79,1050,1050.5,1048,0.13193187799970474
80,1050,1059.95,1048,0.13322267399962584
81,1050,1054.25,1048,0.13501814999926864
82,1050,1051.65,1048,0.13687893799942685
83,1050,1050.0,1048,0.13855804099966917
84,1050,1050.0,1048,0.14007208299972262
85,1050,1056.0,1048,0.14214305599944055
86,1050,1062.3,1048,0.14364997299981042
87,1050,1050.5,1048,0.14540388799923676
88,1050,1050.0,1048,0.14730267499999172
89,1050,1064.0,1048,0.14918483800011018
90,1050,1050.0,1048,0.15088293999997404
91,1050,1054.25,1048,0.1528506019994893
92,1050,1059.05,1048,0.15472682699964935
93,1050,1050.0,1048,0.1560294969995084
94,1050,1050.0,1048,0.15749841499928152
95,1050,1063.7,1048,0.15938770299999305
96,1050,1050.5,1048,0.16108224299932772
97,1050,1057.15,1048,0.16231722599968634
98,1050,1050.0,1048,0.16420057599952997
99,1050,1057.9,1048,0.16585592899991752
100,1050,1050.2,1048,0.16737353400003485
101,1050,1056.6,1048,0.16922244699981093
102,1050,1054.25,1048,0.17060824100008176
103,1050,1050.0,1048,0.1724512169994341
104,1050,1050.5,1048,0.17421581899998273
105,1050,1058.5,1048,0.1757785479994709
106,1050,1056.75,1048,0.17746002599960775
107,1050,1050.5,1048,0.17916881600012857
108,1050,1057.8,1048,0.18120653899950412
109,1050,1050.0,1048,0.1822087749997081
110,1050,1050.0,1048,0.1839876269996239
111,1050,1050.0,1048,0.18517392400008248
112,1050,1063.45,1048,0.18656565499986755
113,1013,1054.15,1013,0.18851194199942256
114,1023,1063.45,1013,0.19054847799998242
115,1013,1047.1,1013,0.1919497089993456
116,1019,1072.5,1013,0.1935112510000181
117,1050,1069.15,1013,0.19559409799967398
118,1050,1069.25,1013,0.19761638399995718
119,1050,1053.2,1013,0.19892499199977465
120,1050,1068.95,1013,0.20042359699982626
121,1050,1055.45,1013,0.20173932899979263
122,1050,1057.4,1013,0.2034006199992291
123,1050,1061.25,1013,0.20497284900011437
124,1050,1056.5,1013,0.20662345199980336
125,1050,1058.6,1013,0.20829424299972743
126,1050,1057.95,1013,0.21006359399962093
127,1050,1060.35,1013,0.21190775699960795
128,1050,1061.35,1013,0.21365454699935071
129,1050,1064.2,1013,0.21530039999925066
130,1050,1072.25,1013,0.21705906399984087
131,1050,1057.5,1013,0.21880229099951976
132,1050,1070.7,1013,0.22037570799966488
133,1050,1054.75,1013,0.22165462799966917
134,1050,1057.3,1013,0.22350235399972007
135,1050,1055.8,1013,0.22490595999988727
136,1050,1054.7,1013,0.22659931299949676
137,1050,1069.25,1013,0.22806941799990454
138,1050,1057.25,1013,0.22972002200003772
139,1044,1054.65,1013,0.23137537499951577
140,1029,1066.7,1013,0.23303666499941755
141,1029,1056.45,1013,0.23458870699960244
142,1034,1065.1,1013,0.23632480899959774
143,1022,1055.25,1013,0.23798372500004916
144,1022,1050.0,1013,0.23954289199991763
145,1034,1047.15,1013,0.24063062699951843
146,1034,1056.15,1013,0.24220048099959968
147,978,1043.15,978,0.24365752499943483
148,978,1039.35,978,0.2457308719995126
149,978,1033.6,978,0.24714279099953274
150,978,1040.35,978,0.24876608199974726
