generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,771,865.82,771,0.00254124899947783
1,725,846.18,725,0.004974434999894584
2,762,840.12,725,0.007406433999676665
3,763,839.86,725,0.009609245999854465
4,757,836.52,725,0.0118179949995465
5,746,830.16,725,0.014011305999702017
6,741,836.3,725,0.016506242000104976
7,733,814.06,725,0.018490553999981785
8,733,811.58,725,0.020537802999569976
9,709,803.32,709,0.02291636399968411
10,709,796.92,709,0.025291363000178535
11,702,784.24,702,0.02767704899997625
12,726,782.98,702,0.029941611000140256
13,689,777.42,689,0.03243417199973919
14,689,762.18,689,0.034481420999327383
15,689,767.88,689,0.03656904499985103
16,702,765.64,689,0.03880035600013798
17,696,759.46,689,0.040828604999660456
18,701,747.38,689,0.04279391699947155
19,671,755.08,671,0.045060852999995404
20,696,757.42,671,0.04749641499984136
21,681,747.98,671,0.04973960099960095
22,694,750.54,671,0.05234497499986901
23,671,748.6,671,0.05430197399982717
24,699,752.26,671,0.056743473000096856
25,671,741.4,671,0.05881328399937047
26,697,734.62,671,0.06074059599995962
27,694,740.36,671,0.06325809499958268
28,675,730.66,671,0.06519253099941125
29,670,732.48,670,0.06708659299965802
30,670,741.22,670,0.06952334099969448
31,681,733.52,670,0.07170833999953174
32,672,722.8,670,0.0736095269994621
33,672,727.26,670,0.07573515100011718
34,671,718.02,670,0.07778596199932508
35,671,720.96,670,0.07972514899938687
36,672,722.38,670,0.08191727299981721
37,672,726.64,670,0.08411652199993114
38,681,724.34,670,0.0863537710001765
39,671,714.48,670,0.08878458199978922
40,670,713.5,670,0.09096958099962649
41,666,709.44,666,0.0930488919993877
42,666,714.38,666,0.09525051599939616
43,666,709.1,666,0.09708164099993155
44,667,707.1,666,0.09940676399946824
45,661,702.76,661,0.10143857599996409
46,661,700.0,661,0.10344663700016099
47,667,692.66,661,0.10575988599975972
48,666,693.24,661,0.10783682300007058
49,666,686.58,661,0.10955750899938721
50,661,689.36,661,0.11176388300009421
51,666,689.16,661,0.11384081999949558
52,667,682.18,661,0.11614812999960122
53,667,682.78,661,0.11812056599956122
54,661,676.18,661,0.11984837699947093
55,667,686.66,661,0.12207612600013817
56,667,684.68,661,0.12441193599988765
57,661,685.44,661,0.1265708099999756
58,661,686.82,661,0.12847674600016035
59,661,683.78,661,0.1307484310000291
60,661,683.14,661,0.1325249299998177
61,661,681.0,661,0.13455436599997483
62,661,682.72,661,0.1363783639999383
63,661,687.36,661,0.13840186200013704
64,661,681.58,661,0.1401403609997942
65,661,681.88,661,0.14216623399988748
66,661,687.34,661,0.14424910799971258
67,661,695.68,661,0.1465445429994361
68,661,688.72,661,0.1488221669997074
69,661,686.24,661,0.1509382899994307
70,661,684.86,661,0.1533121000002211
71,661,685.94,661,0.1553688489993874
72,661,682.9,661,0.15741609699944092
73,661,683.1,661,0.15951440800017735
74,661,677.04,661,0.1616839689995686
75,661,678.18,661,0.1636409669999921
76,661,668.1,661,0.16569890299979306
77,661,671.96,661,0.16798483799993846
78,661,671.4,661,0.17002614899956825
79,661,664.4,661,0.17246527199949924
80,661,671.38,661,0.1745552709999174
81,661,673.74,661,0.17668683099964255
82,661,665.3,661,0.17871032999937597
83,661,668.12,661,0.18097726499945566
84,661,670.44,661,0.18296988899965072
85,661,668.04,661,0.18526651199954358
86,661,670.06,661,0.1874431979995279
87,661,665.72,661,0.19003313299981528
88,661,666.12,661,0.19202100599977712
89,661,667.9,661,0.19436038000003464
90,661,667.44,661,0.19610837799973524
91,661,663.26,661,0.19835750099991856
92,661,671.12,661,0.20070756199947937
93,661,670.42,661,0.20295074800014845
