generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,2030,2191.0,2030,0.011876145999849541
1,2030,2157.65,2030,0.018996847000380512
2,2044,2172.25,2030,0.02818952000052377
3,2044,2156.65,2030,0.03530665900052554
4,2036,2152.45,2030,0.043587427000602474
5,2029,2095.55,2029,0.052474945000540174
6,2036,2095.0,2029,0.059602768999866385
7,2010,2109.0,2010,0.07131505699999252
8,2010,2111.05,2010,0.08150750300046639
9,2010,2105.65,2010,0.08980845600035536
10,1966,2080.15,1966,0.09811653399992792
11,2010,2084.2,1966,0.10648279300039576
12,1987,2066.1,1966,0.11366761200042674
13,1987,2056.05,1966,0.12207780400058255
14,1987,2067.4,1966,0.13211707700065745
15,2015,2063.25,1966,0.14179895100005524
16,2015,2056.95,1966,0.15025901199987857
17,2027,2066.45,1966,0.15983520900044823
18,2003,2062.95,1966,0.16822046600009344
19,1955,2040.55,1955,0.1750134510002681
20,1985,2044.0,1955,0.18463832999987062
21,1972,2023.15,1955,0.19484027399994375
22,1972,2020.7,1955,0.20292512500054727
23,1987,2027.0,1955,0.21107171899984678
24,2012,2040.5,1955,0.22319009000057122
25,1983,2025.1,1955,0.23330654300025344
26,1994,2038.1,1955,0.2416514289998304
27,1994,2033.85,1955,0.25212290800027404
28,1986,2024.9,1955,0.26227973100048985
29,1965,2021.25,1955,0.27157807999992656
30,1965,2013.4,1955,0.2808609929998056
31,1965,2010.6,1955,0.2911139930001809
32,1965,2001.8,1955,0.2975911350004026
33,1944,2013.7,1944,0.30872991800060845
34,1944,2000.55,1944,0.3162626379998983
35,1980,1997.55,1944,0.3244460400001117
36,1957,2010.3,1944,0.3353580339999098
37,1973,2019.3,1944,0.34681503400042857
38,1968,2008.65,1944,0.3558628470000258
39,1962,1994.55,1944,0.36311297100019146
40,1967,2002.7,1944,0.37147804200048995
41,1959,1997.3,1944,0.3817262920001667
42,1967,1994.75,1944,0.3923402549999082
43,1962,1997.85,1944,0.4017810889999964
44,1964,1998.6,1944,0.4123594310003682
45,1966,2002.05,1944,0.42012725099993986
46,1948,1988.9,1944,0.42844245200012665
47,1948,1986.05,1944,0.4386123360000056
48,1942,1977.55,1942,0.4469702820006205
49,1969,1996.05,1942,0.456421803000012
50,1937,1986.45,1937,0.46693008900001587
51,1961,1995.35,1937,0.47864949999984674
52,1961,1997.05,1937,0.48864246399989497
53,1941,1990.15,1937,0.49825546800002485
54,1942,1991.8,1937,0.5054201009997996
55,1942,1989.45,1937,0.5125966069999777
56,1942,1985.85,1937,0.5186177960003988
57,1944,1994.4,1937,0.5292044490006447
58,1944,1986.5,1937,0.5374602809997668
59,1937,1988.6,1937,0.5457244250001168
60,1958,1997.55,1937,0.5576741869999751
61,1937,1986.1,1937,0.5653612650003197
62,1937,1990.0,1937,0.5724083479999535
63,1937,1981.45,1937,0.5816983849999815
64,1937,1966.65,1937,0.5914360639999359
65,1937,1971.9,1937,0.6000314860002618
66,1942,1977.55,1937,0.6116392829999313
67,1940,1985.0,1937,0.6219599639998705
68,1943,1976.0,1937,0.6301552390004872
69,1924,1976.0,1924,0.6366276310000103
70,1944,1976.7,1924,0.6453892859999542
71,1930,1962.35,1924,0.6556957180000609
72,1937,1968.4,1924,0.6650391880002644
73,1948,1976.95,1924,0.6753266220002843
74,1948,1988.05,1924,0.685697171999891
75,1933,1982.5,1924,0.6960356630006572
76,1896,1958.05,1896,0.7053233260003253
77,1933,1965.45,1896,0.7145682430000306
78,1925,1957.55,1896,0.7228312000006554
79,1908,1958.5,1896,0.732078490999811
80,1908,1954.5,1896,0.7401918380001007
81,1908,1960.3,1896,0.7505849489998582
82,1921,1966.9,1896,0.7592789230002381
83,1921,1979.75,1896,0.7702063530005034
84,1909,1970.6,1896,0.7796911209998143
85,1918,1966.1,1896,0.7884468379997998
86,1918,1972.3,1896,0.7982973180005501
87,1918,1961.8,1896,0.8081062390001534
88,1918,1963.7,1896,0.8174568330005059
89,1910,1953.95,1896,0.8256556710002769
90,1910,1937.15,1896,0.8340706110002429
91,1898,1950.65,1896,0.8433879579997665
92,1902,1952.35,1896,0.8538926820001507
93,1907,1957.55,1896,0.8642988540004808
94,1907,1954.35,1896,0.8725012539998716
95,1906,1954.95,1896,0.8828634930005137
96,1906,1953.95,1896,0.8917735700006233
97,1915,1949.25,1896,0.9021381840002505
98,1912,1947.45,1896,0.9119316690002961
99,1912,1937.35,1896,0.919546316999913
100,1912,1938.4,1896,0.9288209189999179
101,1907,1936.4,1896,0.9375469520000479
102,1907,1939.05,1896,0.9469747260000076
103,1903,1926.95,1896,0.9562469520005834
104,1905,1935.8,1896,0.9655892340006176
105,1904,1936.45,1896,0.9759609720003937
106,1904,1928.95,1896,0.9852094510006282
107,1899,1925.1,1896,0.9950599310004691
108,1904,1926.4,1896,1.0034416250000504
109,1904,1929.7,1896,1.0149579939998148
110,1904,1920.4,1896,1.02478116400016
111,1904,1926.6,1896,1.0357180930004688
112,1904,1913.2,1896,1.0444773730005181
113,1904,1913.35,1896,1.0531879710006251
114,1904,1913.55,1896,1.0625753730000724
115,1904,1907.35,1896,1.0707053430005544
116,1904,1915.9,1896,1.0811055780004608
117,1904,1921.4,1896,1.0903291220001847
118,1904,1912.5,1896,1.0989934119997997
119,1904,1905.8,1896,1.1070984469997711
120,1904,1907.7,1896,1.1148627050006326
121,1887,1906.55,1887,1.1236112990000038
122,1887,1915.75,1887,1.1323290210002597
123,1904,1922.7,1887,1.141030118999879
124,1903,1921.15,1887,1.1492147079998176
125,1898,1927.05,1887,1.1601575750000848
126,1898,1919.15,1887,1.1679099590000988
