category,instance,reference_mean_seconds,smaller_population_mean_seconds,lower_mutation_mean_seconds
small,la01,0.32527849206671816,0.12173304610011353,0.3470183517332771
small,la02,0.3226021779666856,0.12181612936662228,0.3657731878332621
medium,la16,0.6208395259666759,0.24721731066665598,0.6655226442333515
medium,la17,0.6418639018332821,0.2492120786333241,0.6370016604000436
large,la31,3.5515008633667096,1.2796678399333057,4.012713818033384
large,la32,3.6117260516664524,1.3274379510668648,3.3996291702665986
