category,instance,parameter_set,run,seed,population_size,generations,crossover_probability,mutation_probability,reference_optimum,best_makespan,final_makespan,gap_percent,elapsed_seconds,time_to_best_seconds,convergence_generation,unique_evaluations,early_improvement_percent,late_improvement_percent
small,la01,smaller_population,8,7,20,150,0.8,0.1,666,670,670,0.6006006006006093,0.12813313500009826,0.013579137000306218,14,2359,7.7134986225895315,0.0
small,la01,smaller_population,9,8,20,150,0.8,0.1,666,668,668,0.30030030030030463,0.12072309399991354,0.04437830400001985,53,2302,5.9620596205962055,0.0
small,la01,smaller_population,10,9,20,150,0.8,0.1,666,666,673,0.0,0.1196341510003549,0.02086567600053968,24,2243,12.021136063408191,0.0
small,la01,smaller_population,11,10,20,150,0.8,0.1,666,676,676,1.501501501501501,0.10906534300011117,0.04513593300089269,53,1977,5.234159779614325,0.0
small,la01,smaller_population,12,11,20,150,0.8,0.1,666,666,666,0.0,0.12004384099964227,0.11603006899986212,145,2182,7.607192254495159,0.14992503748125938
small,la01,smaller_population,13,12,20,150,0.8,0.1,666,682,682,2.4024024024023927,0.11025403800067579,0.023404565000419097,27,1939,9.428950863213812,0.0
small,la01,smaller_population,14,13,20,150,0.8,0.1,666,666,666,0.0,0.12543512000047485,0.02709533500001271,29,2288,10.483870967741936,0.0
small,la01,smaller_population,15,14,20,150,0.8,0.1,666,666,666,0.0,0.10308385900043504,0.021379865999733738,24,1740,10.843373493975903,0.0
small,la01,smaller_population,16,15,20,150,0.8,0.1,666,666,666,0.0,0.12731608800004324,0.029507150999961596,31,2340,14.064516129032258,0.0
small,la01,smaller_population,17,16,20,150,0.8,0.1,666,678,678,1.8018018018018056,0.12202574799994181,0.006182157000694133,6,2330,11.372549019607844,0.0
small,la01,smaller_population,18,17,20,150,0.8,0.1,666,703,703,5.555555555555558,0.11725197399937315,0.09226803399997152,115,2217,4.993252361673414,0.14204545454545456
small,la01,smaller_population,19,18,20,150,0.8,0.1,666,676,676,1.501501501501501,0.12460501100031252,0.018046529000457667,18,2286,10.817941952506596,0.0
small,la01,smaller_population,20,19,20,150,0.8,0.1,666,675,675,1.3513513513513598,0.12237131199981377,0.06661077699936868,80,2336,8.254397834912043,0.0
small,la01,smaller_population,21,20,20,150,0.8,0.1,666,670,670,0.6006006006006093,0.12063517900060106,0.09377260400015075,116,2290,8.71313672922252,1.6152716593245227
small,la01,smaller_population,22,21,20,150,0.8,0.1,666,689,689,3.453453453453448,0.12120399400009774,0.03786956800013286,45,2291,0.0,0.0
small,la01,smaller_population,23,22,20,150,0.8,0.1,666,690,706,3.603603603603611,0.1225660540003446,0.013587444000222604,15,2316,9.329829172141919,0.0
small,la01,smaller_population,24,23,20,150,0.8,0.1,666,666,666,0.0,0.12486503400032234,0.026851878000343277,29,2264,10.962566844919786,0.0
small,la01,smaller_population,25,24,20,150,0.8,0.1,666,666,688,0.0,0.11869356599981984,0.021308602000317478,23,2147,7.5,0.0
small,la01,smaller_population,26,25,20,150,0.8,0.1,666,666,666,0.0,0.11907238000003417,0.1104843390003225,140,2150,2.272727272727273,2.202643171806167
small,la01,smaller_population,27,26,20,150,0.8,0.1,666,666,666,0.0,0.12675673000012466,0.02035028499994951,22,2374,8.390646492434662,0.0
small,la01,smaller_population,28,27,20,150,0.8,0.1,666,666,666,0.0,0.1330445730000065,0.015855576000831206,17,2161,11.788079470198676,0.0
small,la01,smaller_population,29,28,20,150,0.8,0.1,666,687,697,3.153153153153143,0.12486384499970882,0.06654900499961514,79,2294,4.911323328785811,0.0
small,la01,smaller_population,30,29,20,150,0.8,0.1,666,666,666,0.0,0.12063751300047443,0.00679609500002698,7,2181,11.081441922563418,0.0
small,la01,lower_mutation,1,0,50,150,0.8,0.05,666,666,666,0.0,0.3140227359999699,0.03828993299975991,17,6034,8.641975308641975,0.0
small,la01,lower_mutation,2,1,50,150,0.8,0.05,666,666,666,0.0,0.3054085430003397,0.044087320000471664,20,5876,6.197183098591549,0.0
small,la01,lower_mutation,3,2,50,150,0.8,0.05,666,666,666,0.0,0.3138030179998168,0.0441276960000323,20,6063,10.843373493975903,0.0
small,la01,lower_mutation,4,3,50,150,0.8,0.05,666,666,666,0.0,0.3109933269997782,0.04376313099965046,20,5957,8.641975308641975,0.0
small,la01,lower_mutation,5,4,50,150,0.8,0.05,666,666,666,0.0,0.31411522700000205,0.0622715679992325,29,6034,8.011049723756907,0.0
small,la01,lower_mutation,6,5,50,150,0.8,0.05,666,666,666,0.0,0.31191715600016323,0.04259817500042118,19,5964,10.363391655450874,0.0
small,la01,lower_mutation,7,6,50,150,0.8,0.05,666,666,666,0.0,0.32064884299961705,0.08095458299976599,38,5950,8.867667121418826,0.0
small,la01,lower_mutation,8,7,50,150,0.8,0.05,666,666,666,0.0,0.3214978380001412,0.034662068000216095,13,5982,8.264462809917354,0.0
small,la01,lower_mutation,9,8,50,150,0.8,0.05,666,666,666,0.0,0.5224509089994172,0.06764262999968196,30,5933,9.75609756097561,0.0
small,la01,lower_mutation,10,9,50,150,0.8,0.05,666,666,666,0.0,0.867588120999244,0.551687096999558,35,5922,12.021136063408191,0.0
small,la01,lower_mutation,11,10,50,150,0.8,0.05,666,666,674,0.0,0.33778191700002935,0.20775619999949413,91,6045,7.851239669421488,0.0
small,la01,lower_mutation,12,11,50,150,0.8,0.05,666,666,666,0.0,0.3154520429998229,0.0485570259997985,20,5992,7.8838174273858925,0.0
small,la01,lower_mutation,13,12,50,150,0.8,0.05,666,666,666,0.0,0.3147288540003501,0.05499210800007859,24,5923,8.390646492434662,0.0
small,la01,lower_mutation,14,13,50,150,0.8,0.05,666,666,666,0.0,0.32353771299949585,0.03378923099990061,12,5931,8.264462809917354,0.0
small,la01,lower_mutation,15,14,50,150,0.8,0.05,666,666,666,0.0,0.3254709050006568,0.06280586200045946,26,5969,10.843373493975903,0.0
small,la01,lower_mutation,16,15,50,150,0.8,0.05,666,667,667,0.15015015015014122,0.3181891349995567,0.1060630449992459,47,5856,9.23913043478261,0.0
small,la01,lower_mutation,17,16,50,150,0.8,0.05,666,666,666,0.0,0.330048693000208,0.0585035379999681,23,5983,7.6282940360610265,0.0
small,la01,lower_mutation,18,17,50,150,0.8,0.05,666,667,678,0.15015015015014122,0.33516913399944315,0.30725568999969255,137,5901,8.502024291497976,1.6224188790560472
small,la01,lower_mutation,19,18,50,150,0.8,0.05,666,666,666,0.0,0.3338806929996281,0.04115172499950859,17,5989,10.0,0.0
