generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,1034,1178.56,1034,0.004913830999612401
1,1076,1173.44,1034,0.008836107999741216
2,1050,1159.42,1034,0.01284032199964713
3,1071,1146.66,1034,0.01724709499922028
4,1064,1150.98,1034,0.021640805000060936
5,1024,1139.36,1024,0.026072514999214036
6,1013,1146.48,1013,0.031080157999895164
7,1021,1130.44,1013,0.03509624599973904
8,1054,1126.92,1013,0.039166959999420214
9,1061,1127.72,1013,0.04341460899922822
10,1044,1124.68,1013,0.04789738099952956
11,1044,1115.06,1013,0.05208803099958459
12,1038,1128.7,1013,0.056435428999975557
13,1024,1112.08,1013,0.06025320799926703
14,1019,1108.06,1013,0.06431560900000477
15,1024,1108.46,1013,0.06828419799967378
16,1024,1099.78,1013,0.07279546999961894
17,1008,1091.78,1008,0.07674743400002626
18,1016,1097.94,1008,0.08050821300003008
19,999,1086.5,999,0.08532110699979967
20,999,1078.28,999,0.08914957299930393
21,987,1071.16,987,0.09291391399983695
22,987,1067.68,987,0.09734562399989954
23,993,1073.9,987,0.10132727599921054
24,1009,1066.74,987,0.10522698999920976
25,998,1063.18,987,0.10918132999995578
26,987,1062.0,987,0.11381966299995838
27,987,1071.3,987,0.11811362499975075
28,987,1067.14,987,0.12200858899996092
29,987,1079.62,987,0.12606149099974573
30,987,1073.2,987,0.12929383599930588
31,1003,1065.72,987,0.13335148699934507
32,1003,1063.02,987,0.13655889599976945
33,998,1070.68,987,0.14125185400007467
34,1009,1078.1,987,0.1452133180000601
35,1003,1060.88,987,0.14936715599924355
36,1004,1060.96,987,0.1542762369999764
37,1003,1059.86,987,0.15849657399940043
38,995,1056.58,987,0.1630078459993456
39,995,1047.56,987,0.1672554950000631
40,1003,1052.02,987,0.17102102399985597
41,1003,1042.92,987,0.1758137299993905
42,1003,1044.44,987,0.179840506999426
43,1003,1042.24,987,0.18445390299984865
44,1003,1037.7,987,0.18937842099967384
45,995,1027.0,987,0.19317007399968134
46,995,1030.96,987,0.19703891399967688
47,995,1028.52,987,0.20148487400001613
48,995,1026.62,987,0.20604008299960697
49,995,1024.66,987,0.20961561399963102
50,995,1021.4,987,0.21365307699943514
51,995,1015.26,987,0.21795297599965124
52,995,1019.78,987,0.22197143999983382
53,995,1014.52,987,0.2261668399996779
54,995,1017.38,987,0.2305130509994342
55,995,1021.16,987,0.2350397599993812
56,995,1013.12,987,0.23881716399955621
57,995,1012.18,987,0.24332724799933203
58,995,1013.86,987,0.24756777199945645
59,995,1012.88,987,0.2516396729997723
60,995,1012.98,987,0.25583269799972186
61,995,1009.62,987,0.2596397889992659
62,995,1010.26,987,0.26392068799941626
63,995,1009.56,987,0.268085212999722
64,995,1009.86,987,0.27251217299999553
65,995,1002.88,987,0.27672419699956663
66,995,1002.54,987,0.28055028799917636
67,995,1000.08,987,0.28482999999960157
68,995,1008.12,987,0.28903252399959456
69,995,1007.36,987,0.2932694859991898
70,995,1000.72,987,0.2967547669995838
71,995,1002.34,987,0.3007364189998043
72,993,1002.06,987,0.3045541969995611
