generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,710,837.88,710,0.003273967000495759
1,727,817.06,710,0.005993366999973659
2,700,794.6,700,0.009259022000151163
3,715,786.48,700,0.012218299000778643
4,698,778.0,698,0.01493176200074231
5,693,772.62,693,0.01761434900072345
6,700,774.68,693,0.02044300000034127
7,708,770.84,693,0.02318258700051956
8,700,769.84,693,0.02609911400031706
9,704,765.06,693,0.02887432700026693
10,680,756.32,680,0.03154622600050061
11,686,752.34,680,0.03500307100057398
12,680,749.92,680,0.03740303000085987
13,686,751.06,680,0.04073993600013637
14,684,746.32,680,0.045067225000821054
15,683,751.42,680,0.047760500000549655
16,689,749.42,680,0.05012127200006944
17,693,754.54,680,0.05272310800046398
18,688,743.18,680,0.05554107100033434
19,697,743.44,680,0.058419598000000406
20,692,748.74,680,0.06163775200002419
21,670,745.4,670,0.06448184100008802
22,678,741.16,670,0.06744230599997536
23,678,742.54,670,0.07035289500072395
24,666,733.32,666,0.0732717959999718
25,686,738.34,666,0.07658257700040849
26,683,728.48,666,0.07928178900056082
27,674,737.5,666,0.08245125600024039
28,681,732.08,666,0.08553165900048043
29,679,737.7,666,0.08860968700082594
30,689,729.02,666,0.09132314900034544
31,689,725.1,666,0.09375042200008465
32,666,716.6,666,0.0962192570004845
33,666,721.42,666,0.09946353700070176
34,666,720.72,666,0.10221024900056364
35,666,720.96,666,0.10480021000057604
36,666,713.8,666,0.10769773700030782
37,666,718.06,666,0.11077339000075881
38,666,714.42,666,0.11347022700010712
39,666,714.46,666,0.11709569800041209
40,666,710.98,666,0.11992791200009378
41,666,701.0,666,0.1230736280003839
42,666,696.26,666,0.12569565200010402
43,666,694.46,666,0.12838180200014904
44,666,692.12,666,0.13110476400015614
45,666,685.92,666,0.13367216300048312
46,666,683.94,666,0.1362015610002345
47,666,680.74,666,0.1385753950007711
48,666,683.96,666,0.14094804100022884
49,666,686.92,666,0.14331949900042673
50,666,692.04,666,0.14537270500022714
51,666,686.78,666,0.14738791000036144
52,666,684.68,666,0.1496536800004833
53,666,683.82,666,0.1513518200008548
54,666,676.72,666,0.15321858700008306
55,666,682.54,666,0.15518985400012753
56,666,683.08,666,0.15732380999997986
57,666,679.66,666,0.15952308000032644
58,666,675.88,666,0.16170572400005767
59,666,684.96,666,0.1637197420004668
60,666,686.04,666,0.16570407200015325
61,666,679.82,666,0.16735114900075132
62,666,682.68,666,0.16950529300083872
63,666,683.12,666,0.17152643600002193
64,666,684.76,666,0.17364732900023228
65,666,685.84,666,0.1756447220004702
