generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,2034,2176.4,2034,0.028462522000154422
1,1998,2146.46,1998,0.051909580000028654
2,2010,2139.24,1998,0.07605481300015526
3,1984,2131.72,1984,0.09877757400045084
4,1984,2117.42,1984,0.1212129890000142
5,1946,2093.72,1946,0.14147432500067225
6,1946,2094.86,1946,0.16294203200050106
7,1950,2093.62,1946,0.18737698400036606
8,1970,2083.0,1946,0.21236169000076188
9,1960,2062.94,1946,0.2387795560007362
10,1980,2066.36,1946,0.262753807000081
11,1977,2057.86,1946,0.28134569600024406
12,1949,2047.44,1946,0.3018599430006361
13,1949,2044.16,1946,0.32418493300065165
14,1952,2041.56,1946,0.3454721590005647
15,1952,2036.54,1946,0.36643523200018535
16,1958,2039.4,1946,0.3899416590002147
17,1949,2034.88,1946,0.4104416560003301
18,1949,2039.32,1946,0.43211834100020496
19,1957,2026.12,1946,0.45428422300028615
20,1950,2022.82,1946,0.4748352780006826
21,1946,2031.1,1946,0.4999494070007131
22,1946,2023.48,1946,0.5184189970004809
23,1946,2013.08,1946,0.53933101200073
24,1937,2009.92,1937,0.5645531900008791
25,1940,2010.12,1937,0.5877924550004536
26,1946,2024.3,1937,0.6136356290007825
27,1935,2001.32,1935,0.6346355080004287
28,1949,2011.38,1935,0.6597104520005814
29,1926,2004.9,1926,0.6766067700000349
30,1958,2012.04,1926,0.7038914150007258
31,1945,2005.76,1926,0.7287288840007022
32,1925,2001.92,1925,0.7558829180006796
33,1911,1996.6,1911,0.7834442200000922
34,1911,1992.34,1911,0.8109069710008043
35,1928,1997.2,1911,0.8389076020002904
36,1897,1992.1,1897,0.862123118999989
37,1897,1994.36,1897,0.8861092420002024
38,1928,1991.76,1897,0.9134829390004597
39,1931,1994.32,1897,0.9398675550000917
40,1911,1981.8,1897,0.9628800320006121
41,1917,1972.9,1897,0.9872734230002607
42,1923,1979.24,1897,1.0080785740001375
43,1890,1974.44,1890,1.032450592000714
44,1890,1965.68,1890,1.0557694110002558
45,1890,1965.72,1890,1.0832131639999716
46,1890,1969.46,1890,1.1031812160008485
47,1890,1964.76,1890,1.1277930840005865
48,1890,1959.12,1890,1.1475189120001232
49,1922,1962.62,1890,1.1702594810003575
50,1907,1957.8,1890,1.1927388270005395
51,1894,1955.76,1890,1.2141661600007865
52,1885,1953.74,1885,1.2369435370001156
53,1905,1957.42,1885,1.2606921850001527
54,1882,1952.16,1882,1.2831038510003054
55,1896,1945.88,1882,1.3031668930007072
56,1890,1936.56,1882,1.3258184080004867
57,1889,1943.4,1882,1.34813389700048
58,1894,1945.46,1882,1.3664883090004878
59,1884,1956.12,1882,1.3883775310005149
60,1891,1944.4,1882,1.4121249910003826
61,1879,1943.54,1879,1.4332067990008
62,1891,1942.5,1879,1.4553572430004351
63,1876,1936.68,1876,1.4746746150003673
64,1888,1940.92,1876,1.4938138810002783
65,1883,1934.52,1876,1.5155036240003028
66,1880,1939.52,1876,1.5380838959999892
67,1858,1934.08,1858,1.5609443860003012
68,1888,1945.58,1858,1.5807105830008368
69,1872,1936.18,1858,1.6037824250006452
70,1872,1923.16,1858,1.6230511130006562
71,1869,1924.04,1858,1.6448987740004668
72,1869,1919.4,1858,1.6680572950008354
73,1872,1932.8,1858,1.69208378500025
74,1863,1924.78,1858,1.713921947000017
75,1866,1932.22,1858,1.7387178550006865
76,1880,1920.34,1858,1.7595823720002954
77,1874,1918.84,1858,1.778367798000545
78,1874,1920.92,1858,1.7998984310006563
79,1869,1917.66,1858,1.8217080960002932
80,1869,1917.72,1858,1.8414446080005291
81,1869,1909.16,1858,1.8603725190005207
82,1869,1911.14,1858,1.8822368040000583
83,1869,1908.92,1858,1.8992839160000585
84,1869,1909.42,1858,1.919153413999993
85,1850,1903.44,1850,1.940827719000481
86,1865,1904.78,1850,1.962120877000416
87,1850,1894.2,1850,1.9798341060004532
88,1853,1900.56,1850,2.0047926840006767
89,1850,1895.38,1850,2.028204115000335
90,1850,1890.82,1850,2.048657801000445
91,1854,1888.7,1850,2.068434683000305
92,1859,1892.12,1850,2.088686515000518
93,1863,1896.48,1850,2.111222853000072
94,1856,1891.44,1850,2.1320054410007288
95,1857,1897.34,1850,2.153918407000674
96,1862,1900.66,1850,2.1719842860002245
97,1866,1898.36,1850,2.1938758800006326
98,1850,1897.4,1850,2.216864606000854
99,1860,1896.14,1850,2.236478819000695
100,1857,1898.16,1850,2.2579002130005392
101,1850,1901.64,1850,2.2792693630008216
102,1853,1900.7,1850,2.2989085110002634
103,1850,1895.72,1850,2.320365526000387
104,1850,1894.24,1850,2.341796420000719
105,1850,1893.82,1850,2.3618000910000774
106,1854,1895.32,1850,2.3822252790005223
107,1856,1894.0,1850,2.40108669700021
108,1850,1890.34,1850,2.4211449880003784
109,1850,1891.9,1850,2.4415167440001824
110,1850,1888.46,1850,2.462933389000682
111,1855,1894.2,1850,2.485026836000543
112,1850,1883.04,1850,2.504343019000771
113,1850,1889.22,1850,2.524978372000078
114,1850,1885.76,1850,2.546087486000033
115,1850,1886.52,1850,2.5682592970006226
116,1850,1881.24,1850,2.5872240150001744
117,1850,1878.22,1850,2.6074093510005696
118,1850,1879.06,1850,2.628029267000784
119,1850,1884.4,1850,2.6489780840001913
120,1850,1885.62,1850,2.6711819550000655
121,1850,1874.8,1850,2.6920179720000306
122,1850,1878.3,1850,2.7117806040005235
123,1850,1876.28,1850,2.7332625520002694
124,1850,1874.18,1850,2.7576369400003387
125,1850,1874.12,1850,2.7758951700006946
126,1850,1876.06,1850,2.7948278290004964
127,1850,1880.92,1850,2.821652954000456
128,1850,1888.46,1850,2.844471884000086
129,1850,1884.66,1850,2.866769557000225
130,1850,1879.68,1850,2.8882087590000083
131,1850,1882.74,1850,2.9128182470003594
132,1850,1880.12,1850,2.9349081290001777
133,1850,1875.52,1850,2.9578541079999923
134,1850,1872.94,1850,2.9755673350000507
135,1850,1874.58,1850,2.9938421890001337
136,1850,1873.18,1850,3.0145689670007414
137,1850,1873.06,1850,3.037855722000131
138,1850,1864.04,1850,3.0577964600006453
139,1850,1862.62,1850,3.076366969999981
140,1850,1865.1,1850,3.0974832070005505
141,1850,1864.84,1850,3.117009552000127
142,1850,1868.4,1850,3.13838463600041
143,1850,1872.78,1850,3.160144429000866
144,1850,1871.68,1850,3.181147866000174
145,1850,1865.34,1850,3.2009876770007395
146,1850,1867.88,1850,3.2187234640005045
147,1850,1861.72,1850,3.242267878000348
148,1850,1859.28,1850,3.2624864610006625
149,1850,1862.9,1850,3.2832999180000115
150,1850,1870.7,1850,3.3053684280002926
